#{"t_start": 1768206246.7971556, "env_id": "None"}
r,l,t
0.0,1,2.679816
0.0,1,2.679917
0.0,1,2.679943
0.0,1,2.679965
0.0,1,2.679984
0.0,1,2.680005
0.0,1,2.680024
0.0,1,2.680044
-101.01912,2,3.244794
-100.98214,2,3.244916
0.0,1,3.244943
0.0,1,3.244964
0.0,1,3.244985
0.0,1,3.245004
0.0,1,3.245024
0.0,1,3.245043
0.0,1,3.245061
0.0,1,3.24508
-101.0713,2,3.245098
-100.995,2,3.245117
0.0,1,3.507319
0.0,1,3.50737
0.0,1,3.507393
0.0,1,3.507414
0.0,1,3.507435
0.0,1,3.507454
0.0,1,3.507474
0.0,1,3.507496
0.0,1,3.781753
0.0,1,3.781806
0.0,1,3.781826
0.0,1,3.781841
0.0,1,3.781858
0.0,1,3.781873
0.0,1,3.781888
0.0,1,3.781903
0.0,1,4.374119
0.0,1,4.374192
0.0,1,4.374212
0.0,1,4.374229
0.0,1,4.374245
0.0,1,4.374261
0.0,1,4.374275
0.0,1,4.37429
0.0,1,4.75756
0.0,1,4.757615
0.0,1,4.757634
0.0,1,4.75765
0.0,1,4.757666
0.0,1,4.757682
0.0,1,4.757696
0.0,1,4.757711
0.0,1,5.155284
0.0,1,5.155336
0.0,1,5.155359
0.0,1,5.15538
0.0,1,5.155401
0.0,1,5.155423
0.0,1,5.155443
0.0,1,5.155463
0.0,1,5.711424
0.0,1,5.711474
0.0,1,5.711498
0.0,1,5.711522
0.0,1,5.711542
0.0,1,5.711561
0.0,1,5.711579
0.0,1,5.711598
0.0,1,5.9616
0.0,1,5.961647
0.0,1,5.96167
0.0,1,5.96169
0.0,1,5.961712
0.0,1,5.961731
0.0,1,5.961751
0.0,1,5.96177
0.0,1,6.402059
0.0,1,6.402108
0.0,1,6.402131
0.0,1,6.402154
0.0,1,6.402175
0.0,1,6.402194
0.0,1,6.402213
0.0,1,6.402232
0.0,1,6.618494
0.0,1,6.61854
0.0,1,6.618563
0.0,1,6.618585
0.0,1,6.618605
0.0,1,6.618632
0.0,1,6.618652
0.0,1,6.618671
0.0,1,6.86356
0.0,1,6.863613
0.0,1,6.863632
0.0,1,6.863648
0.0,1,6.863664
0.0,1,6.86368
0.0,1,6.863695
0.0,1,6.863709
0.0,1,7.133539
0.0,1,7.133586
0.0,1,7.133608
0.0,1,7.133629
0.0,1,7.133649
0.0,1,7.133669
0.0,1,7.133688
0.0,1,7.133707
0.0,1,7.528425
0.0,1,7.528471
0.0,1,7.528494
0.0,1,7.528515
0.0,1,7.528536
0.0,1,7.528555
0.0,1,7.528574
0.0,1,7.528592
0.0,1,7.915434
0.0,1,7.915479
0.0,1,7.915508
0.0,1,7.915529
0.0,1,7.91555
0.0,1,7.915571
0.0,1,7.915591
0.0,1,7.91561
0.0,1,8.23637
0.0,1,8.236428
0.0,1,8.236448
0.0,1,8.236464
0.0,1,8.23648
0.0,1,8.236495
0.0,1,8.236511
0.0,1,8.236525
0.0,1,8.508704
0.0,1,8.508753
0.0,1,8.508776
0.0,1,8.508798
0.0,1,8.50882
0.0,1,8.50884
0.0,1,8.508859
0.0,1,8.508878
0.0,1,9.024589
0.0,1,9.024636
0.0,1,9.024657
0.0,1,9.024678
0.0,1,9.024698
0.0,1,9.024718
0.0,1,9.024742
0.0,1,9.024762
0.0,1,9.374589
0.0,1,9.374654
0.0,1,9.374673
0.0,1,9.37469
0.0,1,9.374706
0.0,1,9.374722
0.0,1,9.374737
0.0,1,9.374752
0.0,1,9.710219
0.0,1,9.71027
0.0,1,9.710294
0.0,1,9.710315
0.0,1,9.710335
0.0,1,9.710354
0.0,1,9.710374
0.0,1,9.710394
0.0,1,9.991131
0.0,1,9.991179
0.0,1,9.991198
0.0,1,9.991214
0.0,1,9.991231
0.0,1,9.991246
0.0,1,9.991261
0.0,1,9.991277
0.0,1,10.271217
0.0,1,10.271262
0.0,1,10.271281
0.0,1,10.271297
0.0,1,10.271314
0.0,1,10.271329
0.0,1,10.271344
0.0,1,10.271359
0.0,1,10.681387
0.0,1,10.681442
0.0,1,10.681467
0.0,1,10.681487
0.0,1,10.681507
0.0,1,10.681528
0.0,1,10.681548
0.0,1,10.681567
0.0,1,11.018698
0.0,1,11.018747
0.0,1,11.018771
0.0,1,11.018792
0.0,1,11.018813
0.0,1,11.018833
0.0,1,11.018852
0.0,1,11.018872
0.0,1,11.25022
0.0,1,11.250268
0.0,1,11.250292
0.0,1,11.250314
0.0,1,11.250335
0.0,1,11.250354
0.0,1,11.250372
0.0,1,11.250391
0.0,1,11.696018
0.0,1,11.696068
0.0,1,11.69609
0.0,1,11.696111
0.0,1,11.696132
0.0,1,11.696152
0.0,1,11.696176
0.0,1,11.696196
0.0,1,11.972165
0.0,1,11.97222
0.0,1,11.972239
0.0,1,11.972256
0.0,1,11.972272
0.0,1,11.972286
0.0,1,11.972301
0.0,1,11.972316
0.0,1,12.348915
0.0,1,12.348961
0.0,1,12.348984
0.0,1,12.349004
0.0,1,12.349025
0.0,1,12.349044
0.0,1,12.349064
0.0,1,12.349084
0.0,1,12.682331
0.0,1,12.682388
0.0,1,12.682407
0.0,1,12.682423
0.0,1,12.682439
0.0,1,12.682454
0.0,1,12.682469
0.0,1,12.682485
0.0,1,12.963491
0.0,1,12.963535
0.0,1,12.963554
0.0,1,12.96357
0.0,1,12.963586
0.0,1,12.963602
0.0,1,12.963616
0.0,1,12.963632
0.0,1,13.294652
0.0,1,13.294701
0.0,1,13.294721
0.0,1,13.294739
0.0,1,13.294761
0.0,1,13.294777
